id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-157256,2021-04-19,000001,Vente en l'état futur d'achèvement,262000,,,CLOS DE BELLEVENT,B374,35400,35288,Saint-Malo,35,,,35288000VH0030,,,59,,,,,,,,,,1,,,,,,,,,,-1.97003,48.653212
2021-157257,2021-04-20,000001,Vente en l'état futur d'achèvement,30000,4,,RUE GRANDE HERMINE,3810,35400,35288,Saint-Malo,35,,,35288000AV0166,,,68,,,,,,,,,,1,,,,,,,,,,-2.009467,48.646611
2021-157258,2021-04-15,000001,Vente,187000,16,,RUE DE LA CORNE DE CERF,2070,35400,35288,Saint-Malo,35,,,35288000AC0051,,,26,39.79,,,,,,,,,1,2,Appartement,39,2,,,,,,-2.025049,48.650689
2021-157259,2021-04-15,000001,Vente,245000,19,,RUE HERBERT CLOS NEUF,4310,35400,35288,Saint-Malo,35,,,35288000DA0073,,,25,53.41,,,,,,,,,1,2,Appartement,54,2,,,,,,-1.982702,48.654657
2021-157259,2021-04-15,000001,Vente,245000,19,,RUE HERBERT CLOS NEUF,4310,35400,35288,Saint-Malo,35,,,35288000DA0073,,,12,14.25,,,,,,,,,1,3,Dépendance,,0,,,,,,-1.982702,48.654657
2021-157260,2021-04-20,000001,Vente,119000,9003,,RUE DES CYPRES,2355,35400,35288,Saint-Malo,35,,,352880000M0472,,,100,25.02,,,,,,,,,1,2,Appartement,24,1,,,,,,-1.979399,48.679204
2021-157261,2021-04-16,000001,Vente,500000,5,,RUE DE LA BARONNIE,0541,35400,35288,Saint-Malo,35,,,35288000CI0304,,,,,,,,,,,,,0,1,Maison,154,7,S,sols,,,554,-1.997383,48.622098
2021-157263,2021-04-20,000001,Vente,200000,1,,PAS DE LA GRANDE HERMINE,3786,35400,35288,Saint-Malo,35,,,35288000AB0393,,,215,17.96,227,25.5,,,,,,,2,4,Local industriel. commercial ou assimilé,95,0,,,,,,-2.025858,48.648392
2021-157274,2021-04-29,000001,Vente,98000,73,,AV DE MOKA,5730,35400,35288,Saint-Malo,35,,,35288000AK0554,,,10,17.6,4,,,,,,,,2,2,Appartement,18,1,,,,,,-2.002297,48.650798
2021-157276,2021-04-16,000001,Vente,428500,6,,PL LE PLACITRE,6631,35400,35288,Saint-Malo,35,,,35288000AB0270,,,105,,120,55.56,,,,,,,2,2,Appartement,52,3,,,,,,-2.027952,48.648365
